Muc_Do,Noi_lam_Dich_Vu,Ten_Dich_Vu,The_Loai_Chinh,URL_Chi_Tiet
,cơ quan quản lý căn cước của Công an cấp tỉnh.,"Cấp xác nhận số chứng minh nhân dân 09 số, số định danh cá nhân tại Công an cấp tỉnh","Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/cap-xac-nhan-so-chung-minh-nhan-dan-09-so-so-dinh-danh-ca-nhan-tai-cong-an-cap-tinh.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát quản lý hành chính về trật tự xã hội, Công an tỉnh, thành phố trực thuộc trung ương).",Khai thác thông tin của công dân trong Cơ sở dữ liệu căn cước tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/khai-thac-thong-tin-cua-cong-dan-trong-co-so-du-lieu-can-cuoc-tai-cong-an-cap-tinh.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát quản lý hành chính về trật tự xã hội, Công an tỉnh, thành phố trực thuộc trung ương).",Khai thác thông tin người gốc Việt Nam chưa xác định được quốc tịch trong Cơ sở dữ liệu quốc gia về dân cư tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/khai-thac-thong-tin-nguoi-goc-viet-nam-chua-xac-dinh-duoc-quoc-tich-trong-co-so-du-lieu-quoc-gia-ve-dan-cu-tai-cong-an-c2.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát Quản lý hành chính về trật tự xã hội, Công an các tỉnh, thành phố trực thuộc Trung ương).",Cấp thẻ căn cước cho người từ đủ 14 tuổi trở lên tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/cap-the-can-cuoc-cho-nguoi-tu-du-14-tuoi-tro-len-tai-cong-an-cap-tinh.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát Quản lý hành chính về trật tự xã hội, Công an các tỉnh, thành phố trực thuộc Trung ương).",Cấp thẻ căn cước cho người dưới 14 tuổi  tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/cap-the-can-cuoc-cho-nguoi-duoi-14-tuoi-tai-cong-an-cap-tinh.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát Quản lý hành chính về trật tự xã hội, Công an các tỉnh, thành phố trực thuộc Trung ương).",Cấp đổi thẻ căn cước tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/cap-doi-the-can-cuoc-tai-cong-an-cap-tinh.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát Quản lý hành chính về trật tự xã hội, Công an các tỉnh, thành phố trực thuộc Trung ương).",Cấp lại thẻ căn cước tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/cap-lai-the-can-cuoc-tai-cong-an-cap-tinh.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát Quản lý hành chính về trật tự xã hội, Công an các tỉnh, thành phố trực thuộc Trung ương).",Cấp đổi giấy chứng nhận căn cước tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/cap-doi-giay-chung-nhan-can-cuoc-tai-cong-an-cap-tinh.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát Quản lý hành chính về trật tự xã hội, Công an các tỉnh, thành phố trực thuộc Trung ương).",Cấp lại giấy chứng nhận căn cước tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/cap-lai-giay-chung-nhan-can-cuoc-tai-cong-an-cap-tinh.html
,"cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát Quản lý hành chính về trật tự xã hội, Công an các tỉnh, thành phố trực thuộc Trung ương)","Tích hợp, cập nhật, điều chỉnh thông tin trên thẻ căn cước tại Công an cấp tỉnh","Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/tich-hop-cap-nhat-dieu-chinh-thong-tin-tren-the-can-cuoc-tai-cong-an-cap-tinh.html
,cơ quan quản lý căn cước của Công an cấp tỉnh,Khai thác thông tin công dân trong Cơ sở dữ liệu quốc gia về dân cư tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/khai-thac-thong-tin-cong-dan-trong-co-so-du-lieu-quoc-gia-ve-dan-cu-tai-cong-an-cap-tinh.html
,"Cơ quan quản lý căn cước của Công an cấp tỉnh (Phòng Cảnh sát quản lý hành chính về trật tự xã hội, Công an tỉnh, thành phố trực thuộc trung ương).",Khai thác thông tin người gốc Việt Nam chưa xác định được quốc tịch trong Cơ sở dữ liệu căn cước tại Công an cấp tỉnh,"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan/khai-thac-thong-tin-nguoi-goc-viet-nam-chua-xac-dinh-duoc-quoc-tich-trong-co-so-du-lieu-can-cuoc..html
